mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.23265250523885092,0.014495666175355802,0.020016908645629883,0.0008346118797782752,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.5151750972762645,0.5035019455252918,0.5194704049844237,0.51271581592866,0.006747047400381441,9,0.553133514986376,0.555858310626703,0.5622568093385214,0.5570828783172,0.0038238984889271727
0.4879922866821289,0.038681234511387844,0.04115398724873861,0.0010795455716162638,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.5073929961089494,0.511284046692607,0.5225856697819314,0.5137542375278293,0.006443638485888887,8,0.5729855975087583,0.5710393149085247,0.5747081712062256,0.5729110278745029,0.0014987321544247029
0.482166846593221,0.0734527703407204,0.039449612299601235,0.005208139085895948,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.5221789883268483,0.5097276264591439,0.5334890965732088,0.521798570453067,0.009704308452586687,1,0.6103542234332425,0.6173608407940833,0.6233463035019455,0.6170204559097571,0.005309452735766388
0.8496174812316895,0.011777902498875732,0.06937464078267415,0.00707770219364456,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.5159533073929962,0.5190661478599222,0.5210280373831776,0.5186824975453653,0.0020894356161742854,5,0.6590112884390813,0.6632931101595951,0.6719844357976654,0.6647629447987806,0.005397280086413694
0.8442189693450928,0.03412477274719804,0.054703076680501304,0.003313629566318034,0.05,7,100,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 100}",0.5190661478599222,0.51284046692607,0.5295950155763239,0.5205005434541053,0.006914807452556222,3,0.7247956403269755,0.7423121837290775,0.7311284046692607,0.7327454095751046,0.007241931226708929
1.4306148687998455,0.16391315103398696,0.09126996994018555,0.004486961981479442,0.05,7,200,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 200}",0.5097276264591439,0.5019455252918288,0.5132398753894081,0.5083043423801269,0.004719455421187193,12,0.7933047878551965,0.8186064616582328,0.7961089494163424,0.8026733996432572,0.011324389001767972
0.22782659530639648,0.007595291759712331,0.01883530616760254,0.003045093833985526,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.514396887159533,0.5167315175097277,0.5210280373831776,0.5173854806841461,0.002746365986445476,6,0.573374854028805,0.5784351887894122,0.5750972762645914,0.5756357730276028,0.0021006714871175526
0.5114133358001709,0.048338809680823575,0.03494985898335775,0.0022307059392881598,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.511284046692607,0.5245136186770428,0.5241433021806854,0.5199803225167784,0.006151053757117283,4,0.6045153756325419,0.6126897625535228,0.6116731517509728,0.6096260966456791,0.0036375794457814605
0.4029702345530192,0.018131659545780544,0.03337836265563965,0.004284751392683146,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.5221789883268483,0.5159533073929962,0.5264797507788161,0.5215373488328868,0.004321286731123545,2,0.6597898014791748,0.6695212144803425,0.6696498054474708,0.6663202738023294,0.004618039662152676
0.8363801638285319,0.09460800349171312,0.06621575355529785,0.0020367327214490267,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.5066147859922179,0.5019455252918288,0.514018691588785,0.5075263342909438,0.004970816588460593,13,0.776566757493188,0.7979758660957571,0.7894941634241245,0.7880122623376898,0.00880282174122333
0.6498901844024658,0.043410816765511936,0.050638834635416664,0.0027441576069940883,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.5151750972762645,0.5019455252918288,0.5116822429906542,0.5096009551862491,0.005597869411148954,11,0.7917477617750097,0.8182172051381861,0.8019455252918288,0.8039701640683417,0.010900526886978732
1.2503736813863118,0.04681480255477201,0.10574150085449219,0.016448235358781434,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.49571984435797667,0.4933852140077821,0.5046728971962616,0.4979259851873401,0.004865061901634902,15,0.9404437524328533,0.9493966523939276,0.9334630350194553,0.941101146615412,0.006521460265537055
0.2441262404123942,0.004835074400350373,0.02197265625,0.0020179669193593794,0.2,3,100,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 100}",0.511284046692607,0.5206225680933853,0.5163551401869159,0.5160872516576359,0.003817138429616991,7,0.6119112495134293,0.6228104320747373,0.6105058365758755,0.6150758393880141,0.005499196268752694
0.48314722379048664,0.00823155031668857,0.035940965016682945,0.002386265422562966,0.2,3,200,"{'learning_rate': 0.2, 'max_depth': 3, 'n_estimators': 200}",0.5151750972762645,0.5042801556420233,0.514018691588785,0.5111579815023576,0.004886217688718687,10,0.6975476839237057,0.7103931490852472,0.6945525291828794,0.7008311207306107,0.00687105172306381
0.3840000629425049,0.03336806820486219,0.03388873736063639,0.0021589488034330054,0.2,5,100,"{'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 100}",0.5050583657587548,0.4972762645914397,0.5109034267912772,0.5044126857138239,0.0055819688548926025,14,0.784741144414169,0.8014791747761775,0.7949416342412451,0.7937206511438638,0.006887598269980016
