timestamp,emotion,confidence,angry,disgust,fear,happy,sad,surprise,neutral
2025-04-04 15:30:52,Fear,0.9997486472429458,2.2319052276909013e-08,1.0530921064691435e-22,99.97486472429458,5.944813591253291e-16,1.5988929161993907e-05,0.02511288031055715,9.785207501163235e-11
2025-04-04 15:30:54,Fear,0.9997552037239075,2.1543897221754094e-08,1.0838414384473415e-22,99.97552037239075,6.632114121407237e-16,1.7094905047088105e-05,0.024466068134643137,1.2848888619743093e-10
2025-04-04 15:30:55,Neutral,0.8140934705734253,1.3540509156882763,6.481675285385791e-06,5.903243273496628,1.4141542837023735,9.919030964374542,0.0001694447519184905,81.40934705734253
2025-04-04 15:30:56,Fear,0.9998375773333059,5.798021679746988e-05,7.627570525844028e-15,99.98375773333059,5.667098239847701e-07,0.014129635497738302,5.517663100004546e-05,0.0019967477154376485
2025-04-04 15:30:57,Fear,0.9999976158144932,8.74122643314874e-05,6.682079169742592e-16,99.99976158144932,9.230012571467767e-11,0.00010733113952655266,4.145884207983422e-05,1.588409214654373e-07
2025-04-04 15:30:58,Fear,0.9963217973709106,8.914128463155535e-09,3.307486699604082e-23,99.63217973709106,1.337673182061328e-13,4.333053707505918e-09,0.36782154347747564,1.6704651849058436e-12
2025-04-04 15:30:59,Fear,0.9971478581428528,4.2431361202410756e-08,9.666234526922388e-22,99.71478581428528,4.4351780142384487e-13,6.437242960899425e-08,0.285213952884078,3.085597641110105e-11
2025-04-04 15:31:00,Fear,0.9998001456498926,1.600183961094132e-08,5.190337317296905e-22,99.98001456498926,1.7415942302241337e-12,1.4347815668241973e-08,0.019980912276025144,5.112487988703092e-12
2025-04-04 15:31:01,Sad,0.9758553504943848,1.9564174724706618e-07,1.4015181228014505e-18,2.4133849889039993,0.0009404683623870369,97.58553504943848,6.024234640237533e-15,0.0001403482315254223
2025-04-04 15:31:02,Fear,0.9999208450317383,5.105959752227385e-09,1.8075848341707534e-22,99.99208450317383,5.569262804020706e-14,3.7132391605965154e-08,0.007920493953861296,4.727280375417704e-12
2025-04-04 15:31:03,Fear,0.9948476552963257,1.100069924042657e-07,5.485090985440421e-20,99.48476552963257,1.8832363037177453e-12,3.1373499354003798e-06,0.5152331665158272,5.837252989998598e-10
2025-04-04 15:31:04,Sad,0.7931129932403564,7.193642109632492,5.009813093354757e-15,12.51756101846695,1.03920604760388e-09,79.31129932403564,4.62177361269453e-12,0.9775012731552124
2025-04-04 15:31:05,Fear,0.9569173455238342,1.3066093437373638,1.9022144474778924e-14,95.69173455238342,4.206337101547719e-10,2.9935454949736595,1.0997682663637862e-12,0.0081109486927744
2025-04-04 15:31:06,Fear,0.9369251728057861,5.8427318930625916,2.7682842554945315e-17,93.69251728057861,7.757503949108735e-11,0.4644558299332857,6.399892280625069e-12,0.0002901787183873239
2025-04-04 15:31:07,Fear,0.9999989271162661,6.804490014363286e-05,2.6615704220056392e-18,99.99989271162661,1.8237361496430714e-11,3.222715279123565e-05,1.0648733298922498e-05,4.0654970351654774e-08
2025-04-04 15:31:08,Fear,0.995387553893778,9.186292807756113e-06,2.252876454212509e-18,99.5387553893778,7.450968455095322e-11,8.267746447322707e-06,0.46122738115354667,7.083106745876974e-09
2025-04-04 15:31:09,Fear,0.9990153312683105,1.7692673281999305e-05,2.4538253094661612e-18,99.90153312683105,1.1725626979791626e-10,1.1940595356918493e-05,0.09843992302194238,1.4599196851428076e-08
2025-04-04 15:31:10,Fear,0.7735887034886302,0.454625793822157,1.3953158037709987e-10,77.35887034886302,1.0057089518433184,1.4499207891476624,6.740287348049125,12.990590214168442
2025-04-04 15:31:11,Fear,0.5071336929281767,47.64862642578044,0.0009267343200321742,50.71336929281767,0.2519980456008342,1.269792096006399,0.0858499079424833,0.029437024503917962
2025-04-04 15:31:12,Happy,0.7953343039352532,4.1495157914729734e-07,3.3682800221379405e-18,0.0005820262446947309,79.53343039352532,20.465982500793636,4.051461071188173e-14,4.421372115935611e-09
2025-04-04 15:31:13,Surprise,0.9993477463722229,2.5932658243021933e-07,3.8680792995145433e-17,0.06466491031460464,6.029951711561399e-10,0.0005579997377935797,99.93477463722229,5.296269645072016e-07
2025-04-04 15:31:14,Sad,0.9952583909034729,0.09298031218349934,7.84702272778326e-11,0.22793132811784744,0.0006144436156318989,99.52583909034729,0.03757892991416156,0.11505755828693509
2025-04-04 15:31:15,Happy,0.9999836683273315,2.61181348900838e-11,9.13023183136127e-16,5.705034182493144e-17,99.99836683273315,0.0016263369616353884,9.493664577473688e-20,1.1492206652974346e-05
2025-04-04 15:31:16,Neutral,0.622380256652832,0.7021493744105101,9.345420437512075e-07,2.497769519686699,0.2456711372360587,0.8348001167178154,33.48158597946167,62.2380256652832
2025-04-04 15:31:17,Sad,0.9999957084655762,5.5736876447554096e-06,1.3057307170054835e-25,2.7201080277095002e-08,0.00042350611693109386,99.99957084655762,5.191046251084684e-18,2.7802510293994942e-08
2025-04-04 15:31:18,Surprise,0.9934834845681805,1.9563647923181215e-05,1.7580745525804601e-09,0.6382235496373714,0.013365936909485678,1.0394595943862005e-05,99.34834845681804,2.921504112303058e-05
2025-04-04 15:31:19,Angry,0.8499774932861328,84.99774932861328,0.029337519663386047,5.171135812997818,5.098825320601463,3.7082601338624954,0.4126935265958309,0.5819997284561396
2025-04-04 15:31:20,Surprise,0.9989068508148193,1.776126978825232e-06,7.990842649948065e-16,0.10931763099506497,1.3430544176795678e-08,4.664246766594715e-08,99.89068508148193,1.7470644722572537e-09
